"",".rownames","price_3_nights","neigh_simp","number_of_reviews","reviews_per_month",".fitted",".resid",".hat",".sigma",".cooksd",".std.resid","obs_num"
"163","167",588.9,"City of Capitola",13,0.24,1247.33286968969,-658.432869689687,0.0176025557304828,844.210793551154,0.00185075151104158,-0.78723687643464,163
"164","168",3473,"City of Capitola",64,1.2,1149.55567815217,2323.44432184783,0.0169490621842855,837.354048526939,0.0221606245000799,2.77703783701314,164
"165","169",2023.4,"City of Santa Cruz",17,0.31,1039.29125744284,984.108742557159,0.00746527202918908,843.487790653462,0.0017177668655232,1.17059798608007,165
"166","170",755,"City of Capitola",2,0.21,1270.95500960586,-515.955009605864,0.0176175275710376,844.441068638527,0.00113744719131667,-0.616891901939316,166
"167","171",1271.42,"City of Santa Cruz",121,2.18,838.648626462214,432.771373537786,0.00952661037702009,844.551765450498,0.000425690204916561,0.515317223358981,167
"168","172",755,"City of Santa Cruz",70,1.26,936.998044040986,-181.998044040986,0.00683325971631377,844.762249535047,5.37082325201934e-05,-0.216417898347876,168
"169","173",2340.5,"City of Santa Cruz",15,0.35,1044.23644883811,1296.26355116189,0.00740714107529345,842.516750518658,0.00295677834407707,1.54186118156658,169
"170","174",453,"City of Santa Cruz",30,0.54,1014.1572823789,-561.157282378896,0.0069925239950626,844.378704024651,0.000522663246630289,-0.667338041616743,170
"171","175",1661,"City of Santa Cruz",2,0.04,1068.22597181956,592.774028180443,0.00828028603560854,844.328410290048,0.000692420005402066,0.705394764942253,171
"172","176",948.28,"City of Capitola",29,0.55,1216.78389867721,-268.503898677211,0.0170077538496744,844.708207397937,0.000297010495122824,-0.320932048533128,172
"173","177",5738,"Unincorporated Areas",17,0.58,1225.84204833576,4512.15795166424,0.00517892234281987,816.684995656487,0.0249368651443289,5.36104364903045,173
"174","178",265.76,"Unincorporated Areas",165,3.01,937.005344144178,-671.245344144178,0.0121468032404092,844.190768784917,0.00131269423037833,-0.800336492951019,174
